flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km,month,season,water_year_angle,antecedent_7d_mm,antecedent_14d_mm,antecedent_30d_mm,antecedent_30d_anomaly_mm_per_day
2008-08-20 01:45:00,19.107,2008-08-20 01:00:00,24.778,29.082,29.178,4.824,17.0,0.4508219178082192,1.0,15.8312,8,summer,5.563415815450368,43.83500000000001,134.114,170.59,2.9601643010752694
2008-10-25 22:30:00,28.767,2008-10-25 22:00:00,30.994,38.958,43.608,6.285999999999999,4.0,0.0,0.0,15.8312,10,autumn,0.4292792701309341,24.362,50.147,85.55799999999999,-0.3747427956989249
2008-12-19 17:45:00,20.943,2008-12-19 17:00:00,16.657,24.318,28.248,5.488,4.0,0.0,0.0,15.8312,12,winter,1.3726536394537594,18.513,28.978,51.821,-1.4873830107526886
2009-11-01 18:45:00,31.564,2009-11-01 18:00:00,33.904,36.66,38.197,6.687,2.0,0.0,0.0,15.8312,11,autumn,0.5470889946405514,23.408,30.314,53.354,-1.295297333333333
2009-11-19 11:00:00,21.827,2009-11-19 11:00:00,20.807,26.051,31.363,5.247999999999999,5.0,0.0,0.0,15.8312,11,autumn,0.851385954294768,31.560999999999996,43.63799999999999,115.003,0.7596693333333335
2010-01-16 11:00:00,24.874,2010-01-16 11:00:00,9.028,10.817,12.516,2.651,6.0,0.0,0.0,15.8312,1,winter,1.849809920915086,2.5890000000000004,19.854999999999997,79.059,-0.5460978494623654
2010-02-26 09:30:00,26.328,2010-02-26 09:00:00,18.605000000000004,36.065000000000005,38.462,4.092,36.0,0.186027397260274,0.55,15.8312,2,winter,2.554516492182659,0.7179999999999997,4.814,35.818,-1.3727687315634216
2010-03-30 19:45:00,29.665,2010-03-30 19:00:00,33.504,41.424,45.17100000000001,2.129,52.0,0.2034246575342465,0.99,15.8312,3,spring,3.112722995072216,26.289,27.494,69.16799999999999,0.27604354838709666
2010-12-11 02:45:00,23.698,2010-12-11 02:00:00,0.0509999999999999,0.606,0.606,0.545,39.0,0.6031506849315069,0.92,15.8312,12,winter,1.2241811099347897,15.007,59.31699999999999,116.095,0.6550836559139781
2011-02-07 12:00:00,26.97,2011-02-07 12:00:00,24.476000000000003,26.572000000000003,42.621,4.696000000000001,6.0,0.3287671232876712,1.0,7.248399999999999,2,winter,2.229239718574675,38.93999999999999,41.57999999999999,112.82499999999999,1.194131268436578
